Associated Gene Name	% GC content	Gene type	Chromosome Name	Gene Start (bp)	Gene End (bp)	Length
DPCD	50.19	protein_coding	10	101570560	101609668	39108
DPCR1	47.59	protein_coding	CHR_HSCHR6_MHC_COX_CTG1	30930703	30943914	13211
DPEP1	59.08	protein_coding	16	89613308	89638456	25148
DPEP2	54.36	protein_coding	16	67987394	68000586	13192
DPEP3	57.38	protein_coding	16	67975663	67980829	5166
DPF1	57.15	protein_coding	19	38211006	38229714	18708
DPF2	48.63	protein_coding	11	65333754	65353249	19495
DPF3	45.75	protein_coding	14	72619296	72894116	274820
DPH1	56.54	protein_coding	17	2030110	2043430	13320
DPH2	56.05	protein_coding	1	43970000	43973369	3369
DPH3	40.80	protein_coding	3	16257978	16264972	6994
DPH3P1	45.38	processed_pseudogene	20	62845664	62845912	248
DPH3P2	39.60	processed_pseudogene	X	155875636	155875885	249
DPH5	37.71	protein_coding	1	100989623	101026088	36465
DPH6	36.45	protein_coding	15	35217345	35546193	328848
DPH6-AS1	37.09	lincRNA	15	35546195	35859001	312806
DPH7	52.97	protein_coding	9	137554904	137578935	24031
DPM1	39.85	protein_coding	20	50934867	50958555	23688
DPM2	56.79	protein_coding	9	127935099	127938484	3385
DPM3	60.71	protein_coding	1	155139891	155140595	704
DPP10	36.62	protein_coding	2	114442299	115845752	1403453
DPP10-AS1	37.36	antisense	2	115130935	115161343	30408
DPP10-AS2	32.23	antisense	2	114833830	114835588	1758
DPP10-AS3	36.29	antisense	2	114828432	114833548	5116
DPP3	52.26	protein_coding	11	66480013	66509659	29646
DPP3P1	54.70	processed_pseudogene	4	64430909	64433215	2306
DPP3P2	57.37	processed_pseudogene	9	73474378	73476073	1695
DPP4	39.67	protein_coding	2	161992241	162074542	82301
DPP6	43.87	protein_coding	7	153887097	154894285	1007188
DPP7	68.70	protein_coding	9	137110542	137115177	4635
DPP8	40.97	protein_coding	15	65442463	65517704	75241
DPP9	56.68	protein_coding	19	4675224	4724673	49449
DPP9-AS1	59.26	antisense	19	4679282	4685948	6666
DPPA2	43.89	protein_coding	3	109293788	109316517	22729
DPPA2P1	40.11	processed_pseudogene	Y	13230884	13231439	555
DPPA2P2	44.15	processed_pseudogene	1	26519354	26520250	896
DPPA2P3	46.26	processed_pseudogene	3	193993331	193993985	654
DPPA2P4	44.34	processed_pseudogene	16	56686851	56688052	1201
DPPA3	45.97	protein_coding	12	7711454	7717559	6105
DPPA3P1	46.06	processed_pseudogene	X	103961811	103962279	468
DPPA3P2	40.36	transcribed_unprocessed_pseudogene	14	36371165	36372383	1218
DPPA3P3	36.98	processed_pseudogene	13	81114866	81115295	429
DPPA4	43.85	protein_coding	3	109326141	109337572	11431
DPPA5	55.02	protein_coding	6	73353062	73354295	1233
DPPA5P1	52.94	processed_pseudogene	19	52425863	52426202	339
DPPA5P2	49.83	transcribed_processed_pseudogene	15	45566776	45567074	298
DPPA5P4	56.99	processed_pseudogene	14	75292131	75292495	364
DPRX	48.00	protein_coding	19	53632056	53637009	4953
DPRXP1	41.52	processed_pseudogene	2	186488624	186489083	459
DPRXP2	43.17	processed_pseudogene	6	35989515	35990436	921
DPRXP4	47.71	processed_pseudogene	17	30975387	30975954	567
DPRXP5	46.33	processed_pseudogene	21	36943267	36944125	858
DPRXP6	44.89	processed_pseudogene	X	40758483	40759050	567
DPRXP7	41.85	processed_pseudogene	X	112319952	112320417	465
DPT	42.20	protein_coding	1	168695459	168729264	33805
DPY19L1	37.49	protein_coding	7	34928876	35038271	109395
DPY19L1P1	38.96	unprocessed_pseudogene	7	32580949	32761787	180838
DPY19L1P2	39.43	unprocessed_pseudogene	7	32812757	32838570	25813
DPY19L2	36.31	protein_coding	12	63558913	63668939	110026
DPY19L2P1	36.03	transcribed_unprocessed_pseudogene	7	35079989	35186041	106052
DPY19L2P2	36.36	transcribed_unprocessed_pseudogene	7	103175133	103280410	105277
DPY19L2P3	36.47	transcribed_unprocessed_pseudogene	7	29650227	29742594	92367
DPY19L2P4	37.74	transcribed_unprocessed_pseudogene	7	90119400	90125600	6200
DPY19L3	40.45	protein_coding	19	32405543	32485895	80352
DPY19L4	40.06	protein_coding	8	94719703	94793836	74133
DPY30	39.00	protein_coding	2	31867809	32039812	172003
DPYD	35.09	protein_coding	1	97077743	97921049	843306
DPYD-AS1	36.02	antisense	1	97095923	97322955	227032
DPYD-AS2	34.99	antisense	1	97796921	97798066	1145
DPYD-IT1	35.82	sense_intronic	1	97394154	97420141	25987
DPYS	41.53	protein_coding	8	104330324	104467053	136729
DPYSL2	44.92	protein_coding	8	26514275	26658178	143903
DPYSL3	41.43	protein_coding	5	147390811	147510056	119245
DPYSL4	61.67	protein_coding	10	132186900	132205776	18876
DPYSL5	46.42	protein_coding	2	26847747	26950351	102604
DQX1	49.43	protein_coding	2	74518131	74526336	8205
DR1	36.47	protein_coding	1	93345888	93369498	23610
DRAM1	41.46	protein_coding	12	101877351	102012130	134779
DRAM2	37.94	protein_coding	1	111117333	111140216	22883
DRAP1	65.51	protein_coding	11	65919257	65921561	2304
DRAXIN	53.39	protein_coding	1	11691729	11725857	34128
DRAXINP1	63.29	processed_pseudogene	X	8783514	8784461	947
DRC1	44.06	protein_coding	2	26401916	26456711	54795
DRC7	50.24	protein_coding	16	57694793	57731805	37012
DRD1	46.91	protein_coding	5	175440039	175444208	4169
DRD2	48.35	protein_coding	11	113409615	113475691	66076
DRD3	41.05	protein_coding	3	114128652	114199407	70755
DRD4	66.94	protein_coding	CHR_HSCHR11_1_CTG8	637537	640933	3396
DRD5	58.24	protein_coding	4	9781680	9784009	2329
DRD5P1	60.71	processed_pseudogene	2	91684447	91685884	1437
DRD5P2	61.12	processed_pseudogene	1	144274892	144277993	3101
DRG1	44.37	protein_coding	22	31399523	31528740	129217
DRG2	53.55	protein_coding	17	18087886	18107971	20085
DRGX	48.29	protein_coding	10	49364181	49396016	31835
DRICH1	44.89	protein_coding	22	23608452	23632321	23869
DROSHA	39.75	protein_coding	5	31400497	31532196	131699
DRP2	45.17	protein_coding	X	101219769	101264497	44728
DSC1	35.20	protein_coding	18	31129236	31162856	33620
DSC2	37.02	protein_coding	18	31058840	31102415	43575
DSC3	36.20	protein_coding	18	30990008	31042815	52807
DSCAM	40.93	protein_coding	21	40010999	40847139	836140
DSCAM-AS1	42.84	antisense	21	40383083	40385358	2275
DSCAM-IT1	40.53	sense_intronic	21	40615378	40630767	15389
DSCAML1	50.08	protein_coding	11	117427773	117817525	389752
DSCAS	36.66	antisense	18	31101588	31162789	61201
DSCC1	42.08	protein_coding	8	119833976	119856010	22034
DSCR10	53.48	sense_intronic	21	38206156	38208644	2488
DSCR3	44.22	protein_coding	21	37223420	37267919	44499
DSCR4	41.53	protein_coding	21	37951425	38121360	169935
DSCR4-IT1	41.47	sense_intronic	21	38006544	38010618	4074
DSCR8	40.76	protein_coding	21	38121451	38188016	66565
DSCR9	45.81	lincRNA	21	37208503	37221736	13233
DSE	38.18	protein_coding	6	116254173	116441261	187088
DSEL	41.51	protein_coding	18	67506582	67516980	10398
DSG1	36.14	protein_coding	18	31318089	31357029	38940
DSG1-AS1	36.87	antisense	18	31343368	31426988	83620
DSG2	39.27	protein_coding	18	31498043	31549008	50965
DSG2-AS1	40.18	antisense	18	31542146	31556911	14765
DSG3	37.45	protein_coding	18	31447795	31478702	30907
DSG4	36.91	protein_coding	18	31376777	31414912	38135
DSN1	44.84	protein_coding	20	36751791	36773818	22027
DSP	42.33	protein_coding	6	7541575	7586717	45142
DSPP	41.02	protein_coding	4	87608529	87616910	8381
DST	38.07	protein_coding	6	56457987	56954628	496641
DSTN	39.56	protein_coding	20	17569863	17609919	40056
DSTNP1	43.44	processed_pseudogene	21	46653558	46654022	464
DSTNP2	46.24	transcribed_unprocessed_pseudogene	12	6884682	6885786	1104
DSTNP4	38.19	processed_pseudogene	3	39214199	39214672	473
DSTNP5	39.39	processed_pseudogene	2	204306842	204307364	522
DSTYK	43.55	protein_coding	1	205142505	205211566	69061
DTD1	43.21	protein_coding	20	18567453	18763917	196464
DTD2	38.52	protein_coding	14	31446036	31457510	11474
DTHD1	37.18	protein_coding	4	36281622	36345756	64134
DTL	38.44	protein_coding	1	212035553	212107400	71847
DTNA	37.99	protein_coding	18	34493290	34891844	398554
DTNB	41.46	protein_coding	2	25377198	25673647	296449
DTNBP1	39.93	protein_coding	6	15522801	15663058	140257
DTWD1	36.31	protein_coding	15	49620980	49656232	35252
DTWD2	37.76	protein_coding	5	118837322	118988545	151223
DTX1	53.96	protein_coding	12	113056709	113098028	41319
DTX2	54.28	protein_coding	7	76461676	76505995	44319
DTX2P1	56.95	transcribed_unprocessed_pseudogene	7	76978617	77004308	25691
DTX2P1-UPK3BP1-PMS2P11	50.86	processed_transcript	7	76980949	77043775	62826
DTX3	55.60	protein_coding	12	57604622	57609804	5182
DTX3L	44.43	protein_coding	3	122564238	122575203	10965
DTX4	47.60	protein_coding	11	59171430	59208587	37157
DTYMK	51.17	protein_coding	2	241675742	241686991	11249
DUOX1	52.90	protein_coding	15	45129933	45165576	35643
DUOX2	54.85	protein_coding	15	45092650	45114344	21694
DUOXA1	49.20	protein_coding	15	45117367	45129938	12571
DUOXA2	58.64	protein_coding	15	45114321	45118421	4100
DUPD1	47.64	protein_coding	10	75037836	75058514	20678
DUS1L	64.45	protein_coding	17	82057506	82065887	8381
DUS2	48.49	protein_coding	16	67987746	68079320	91574
DUS3L	61.93	protein_coding	19	5784832	5791238	6406
DUS4L	37.93	protein_coding	7	107563484	107578464	14980
DUSP1	52.99	protein_coding	5	172768090	172771195	3105
DUSP10	41.35	protein_coding	1	221701424	221742176	40752
DUSP11	40.29	protein_coding	2	73762184	73780157	17973
DUSP12	39.87	protein_coding	1	161749758	161757238	7480
DUSP12P1	39.06	unprocessed_pseudogene	3	100221268	100223858	2590
DUSP13	54.85	protein_coding	10	75094432	75109221	14789
DUSP14	46.28	protein_coding	17	37489831	37513501	23670
DUSP15	53.94	protein_coding	20	31847637	31870747	23110
DUSP16	40.28	protein_coding	12	12474210	12562383	88173
DUSP18	47.98	protein_coding	22	30652051	30667890	15839
DUSP19	38.15	protein_coding	2	183078559	183100005	21446
DUSP2	63.60	protein_coding	2	96143166	96145440	2274
DUSP21	50.96	protein_coding	X	44844004	44844888	884
DUSP22	47.53	protein_coding	6	291630	351355	59725
DUSP23	59.37	protein_coding	1	159780932	159782543	1611
DUSP26	52.92	protein_coding	8	33591332	33600106	8774
DUSP27	44.81	protein_coding	1	167094045	167129165	35120
DUSP28	53.35	protein_coding	2	240560054	240564014	3960
DUSP3	50.91	protein_coding	17	43766121	43778988	12867
DUSP4	51.08	protein_coding	8	29333064	29350668	17604
DUSP5	49.09	protein_coding	10	110497838	110511544	13706
DUSP5P1	56.28	processed_pseudogene	1	228650241	228651379	1138
DUSP5P2	55.83	processed_pseudogene	3	9600748	9602728	1980
DUSP6	46.57	protein_coding	12	89347232	89353271	6039
DUSP7	59.41	protein_coding	3	52048919	52056550	7631
DUSP8	63.89	protein_coding	CHR_HSCHR11_1_CTG6	1559761	1571646	11885
DUSP8P3	67.50	processed_pseudogene	10	46774421	46776180	1759
DUSP8P4	67.75	processed_pseudogene	10	47564256	47566016	1760
DUSP8P5	67.60	processed_pseudogene	10	73731824	73733638	1814
DUSP9	63.69	protein_coding	X	153642492	153651326	8834
DUT	39.96	protein_coding	15	48331011	48343373	12362
DUTP1	43.62	processed_pseudogene	3	125310881	125311350	469
DUTP2	46.44	processed_pseudogene	8	123352181	123352643	462
DUTP3	40.48	processed_pseudogene	7	147146342	147146756	414
DUTP4	47.79	processed_pseudogene	X	149817170	149817644	474
DUTP5	43.07	processed_pseudogene	6	85426657	85427125	468
DUTP6	46.10	processed_pseudogene	1	166868748	166869209	461
DUTP7	45.47	processed_pseudogene	4	51865050	51865535	485
DUTP8	41.72	processed_pseudogene	4	98048555	98049043	488
DUX4	73.16	protein_coding	CHR_HSCHR4_6_CTG12	190025519	190026643	1124
DUX4L1	72.87	protein_coding	4	190084412	190085922	1510
DUX4L10	73.24	unprocessed_pseudogene	10	133743332	133744598	1266
DUX4L11	73.16	unprocessed_pseudogene	10	133746641	133747907	1266
DUX4L12	73.09	unprocessed_pseudogene	10	133749950	133751216	1266
DUX4L13	73.16	unprocessed_pseudogene	10	133753250	133754516	1266
DUX4L14	73.16	unprocessed_pseudogene	10	133756559	133757825	1266
DUX4L15	73.24	unprocessed_pseudogene	10	133759859	133761125	1266
DUX4L16	67.17	unprocessed_pseudogene	Y	11306918	11308181	1263
DUX4L17	65.59	unprocessed_pseudogene	Y	11314921	11316187	1266
DUX4L18	66.46	unprocessed_pseudogene	Y	11321557	11322823	1266
DUX4L19	68.75	unprocessed_pseudogene	Y	11332329	11333595	1266
DUX4L2	73.01	protein_coding	4	190091005	190092564	1559
DUX4L20	73.13	unprocessed_pseudogene	10	133683668	133684936	1268
DUX4L21	73.05	unprocessed_pseudogene	10	133680369	133681637	1268
DUX4L22	73.13	unprocessed_pseudogene	10	133677059	133678327	1268
DUX4L23	73.13	unprocessed_pseudogene	10	133673749	133675017	1268
DUX4L26	68.13	processed_pseudogene	3	75668931	75670185	1254
DUX4L27	61.38	transcribed_processed_pseudogene	12	34208415	34209675	1260
DUX4L3	72.87	protein_coding	4	190087705	190089215	1510
DUX4L4	72.56	protein_coding	4	190081118	190082622	1504
DUX4L5	73.01	protein_coding	4	190077818	190079377	1559
DUX4L6	72.87	protein_coding	4	190074525	190076035	1510
DUX4L7	72.80	protein_coding	4	190071232	190072742	1510
DUX4L8	73.18	protein_coding	4	190067935	190069209	1274
DUX4L9	71.80	unprocessed_pseudogene	4	190021407	190022665	1258
DUXA	45.64	protein_coding	19	57154021	57167443	13422
DUXAP1	39.52	transcribed_unprocessed_pseudogene	2	84750769	84751231	462
DUXAP10	41.31	transcribed_processed_pseudogene	14	19062316	19115270	52954
DUXAP2	41.60	unprocessed_pseudogene	8	101366417	101367005	588
DUXAP3	40.73	unprocessed_pseudogene	10	42747544	42748687	1143
DUXAP4	41.60	processed_pseudogene	10	45055656	45056268	612
DUXAP5	42.72	processed_pseudogene	11	119444991	119445519	528
DUXAP6	42.93	processed_pseudogene	15	92281484	92282084	600
DUXAP7	44.20	processed_pseudogene	20	18642782	18643634	852
DUXAP8	41.82	processed_transcript	22	15784959	15829984	45025
DVL1	66.25	protein_coding	1	1335276	1349350	14074
DVL2	55.14	protein_coding	17	7225341	7234545	9204
DVL3	52.91	protein_coding	3	184155388	184173610	18222
DXO	58.72	protein_coding	CHR_HSCHR6_MHC_SSTO_CTG1	31962464	31964946	2482
DYDC1	40.36	protein_coding	10	80336105	80356755	20650
DYDC2	43.12	protein_coding	10	80344745	80368073	23328
DYM	38.58	protein_coding	18	49041474	49461347	419873
DYNAP	36.30	protein_coding	18	54587757	54599493	11736
DYNC1H1	46.94	protein_coding	14	101964528	102050792	86264
DYNC1I1	38.59	protein_coding	7	95772506	96110071	337565
DYNC1I2	36.49	protein_coding	2	171687409	171748420	61011
DYNC1I2P1	43.20	processed_pseudogene	10	50264978	50266815	1837
DYNC1LI1	39.16	protein_coding	3	32525971	32570874	44903
DYNC1LI2	45.09	protein_coding	16	66720893	66751798	30905
DYNC2H1	35.10	protein_coding	11	103109431	103479863	370432
DYNC2LI1	37.57	protein_coding	2	43774039	43810010	35971
DYNLL1	47.04	protein_coding	12	120469850	120498493	28643
DYNLL1-AS1	46.25	antisense	12	120490328	120495940	5612
DYNLL1P1	48.33	processed_pseudogene	14	81246295	81246563	268
DYNLL1P2	48.15	processed_pseudogene	14	81412970	81413239	269
DYNLL1P3	44.74	processed_pseudogene	1	18513118	18513383	265
DYNLL1P4	44.36	processed_pseudogene	12	113789542	113789807	265
DYNLL1P5	43.70	processed_pseudogene	3	154657294	154657563	269
DYNLL1P6	43.94	processed_pseudogene	4	100041841	100042104	263
DYNLL1P7	47.29	processed_pseudogene	7	85381118	85381375	257
DYNLL2	49.02	protein_coding	17	58083415	58095536	12121
DYNLRB1	48.33	protein_coding	20	34516409	34540958	24549
DYNLRB2	38.52	protein_coding	16	80540734	80550760	10026
DYNLT1	45.31	protein_coding	6	158636474	158644739	8265
DYNLT3	37.62	protein_coding	X	37836757	37847637	10880
DYNLT3P1	44.67	processed_pseudogene	20	17479085	17479431	346
DYNLT3P2	42.71	processed_pseudogene	2	128199901	128200195	294
DYRK1A	38.86	protein_coding	21	37365790	37517450	151660
DYRK1B	57.17	protein_coding	19	39825350	39834201	8851
DYRK2	43.53	protein_coding	12	67648338	67665406	17068
DYRK3	44.46	protein_coding	1	206635536	206684419	48883
DYRK4	42.77	protein_coding	12	4562204	4615302	53098
DYSF	49.64	protein_coding	2	71453722	71686768	233046
DYTN	38.44	protein_coding	2	206651621	206718396	66775
DYX1C1	42.67	protein_coding	15	55410525	55508234	97709
DYX1C1-CCPG1	41.93	processed_transcript	15	55355248	55498360	143112
DZANK1	41.71	protein_coding	20	18383367	18467281	83914
DZIP1	41.42	protein_coding	13	95578202	95644703	66501
DZIP1L	45.71	protein_coding	3	138061990	138115818	53828
DZIP3	35.70	protein_coding	3	108589682	108694846	105164
E2F1	55.50	protein_coding	20	33675487	33686404	10917
E2F2	51.66	protein_coding	1	23506430	23531220	24790
E2F3	42.72	protein_coding	6	20401906	20493715	91809
E2F3-IT1	39.27	sense_intronic	6	20437821	20440178	2357
E2F3P2	47.75	processed_pseudogene	2	195994259	195995680	1421
E2F4	56.55	protein_coding	16	67192169	67198918	6749
E2F4P1	54.37	processed_pseudogene	6	39553811	39554943	1132
E2F5	39.49	protein_coding	8	85177225	85217158	39933
E2F6	41.96	protein_coding	2	11444375	11466177	21802
E2F7	40.18	protein_coding	12	77021247	77065580	44333
E2F8	41.92	protein_coding	11	19224063	19241620	17557
E4F1	61.58	protein_coding	16	2223566	2235742	12176
EAF1	43.63	protein_coding	3	15427355	15450635	23280
EAF1-AS1	45.55	antisense	3	15436171	15451602	15431
EAF2	36.14	protein_coding	3	121835183	121886526	51343
EAPP	44.09	protein_coding	14	34515929	34539711	23782
EARS2	47.93	protein_coding	16	23522014	23557731	35717
EBAG9	34.99	protein_coding	8	109539711	109565996	26285
EBAG9P1	40.52	processed_pseudogene	10	99697407	99697949	542
EBF1	39.97	protein_coding	5	158695916	159099761	403845
EBF2	42.02	protein_coding	8	25841730	26045397	203667
EBF3	48.80	protein_coding	10	129835283	129963841	128558
EBF4	49.22	protein_coding	20	2692878	2760108	67230
EBI3	53.68	protein_coding	19	4229498	4237531	8033
EBLN1	42.05	protein_coding	10	22208814	22210021	1207
EBLN2	41.75	protein_coding	3	73061659	73063337	1678
EBNA1BP2	44.38	protein_coding	1	43164175	43270936	106761
EBP	49.69	protein_coding	X	48521158	48528716	7558
EBPL	45.56	protein_coding	13	49660723	49691475	30752
ECD	39.47	protein_coding	10	73130155	73169055	38900
ECE1	52.19	protein_coding	1	21217247	21345504	128257
ECE2	51.09	protein_coding	3	184249650	184293031	43381
ECEL1	64.78	protein_coding	2	232479827	232487828	8001
ECEL1P2	58.14	transcribed_unprocessed_pseudogene	2	232385750	232387457	1707
ECEL1P3	62.66	unprocessed_pseudogene	2	232349754	232351309	1555
ECH1	51.47	protein_coding	19	38815422	38832005	16583
ECHDC1	36.00	protein_coding	6	127288710	127343609	54899
ECHDC2	47.09	protein_coding	1	52895910	52927212	31302
ECHDC3	47.51	protein_coding	10	11742366	11764070	21704
ECHS1	56.30	protein_coding	10	133362480	133373689	11209
ECI1	55.22	protein_coding	16	2239395	2252300	12905
ECI2	41.70	protein_coding	6	4115689	4135597	19908
ECM1	55.19	protein_coding	1	150508062	150513789	5727
ECM1P1	52.85	processed_pseudogene	9	4768617	4769895	1278
ECM1P2	47.30	processed_pseudogene	4	12639086	12641009	1923
ECM2	38.89	protein_coding	9	92493554	92536655	43101
ECSCR	49.40	protein_coding	5	139442316	139462707	20391
ECSIT	50.87	protein_coding	19	11505916	11529174	23258
ECT2	34.96	protein_coding	3	172750682	172821474	70792
ECT2L	41.45	protein_coding	6	138795926	138904070	108144
EDA	38.75	protein_coding	X	69616067	70039469	423402
EDA2R	39.73	protein_coding	X	66595637	66639298	43661
EDAR	48.85	protein_coding	2	108894471	108989372	94901
EDARADD	44.65	protein_coding	1	236348262	236484914	136652
EDC3	43.70	protein_coding	15	74630558	74696292	65734
EDC4	57.32	protein_coding	16	67873023	67884503	11480
EDDM3A	43.62	protein_coding	14	20731699	20748380	16681
EDDM3B	42.98	protein_coding	14	20768427	20770948	2521
EDDM3CP	44.00	processed_pseudogene	2	134319654	134320078	424
EDDM3DP	44.93	unprocessed_pseudogene	14	20734578	20735011	433
EDEM1	43.38	protein_coding	3	5187646	5219957	32311
EDEM2	45.82	protein_coding	20	35115357	35147364	32007
EDEM3	34.39	protein_coding	1	184690231	184754913	64682
EDF1	57.77	protein_coding	9	136862119	136866286	4167
EDIL3	35.46	protein_coding	5	83940554	84384793	444239
EDN1	42.83	protein_coding	6	12290363	12297194	6831
EDN2	56.98	protein_coding	1	41478775	41484673	5898
EDN3	49.22	protein_coding	20	59300427	59325992	25565
EDNRA	38.78	protein_coding	4	147480917	147544954	64037
EDNRB	37.90	protein_coding	13	77895481	77919768	24287
EDNRB-AS1	38.70	lincRNA	13	77828222	77833950	5728
EDRF1	39.09	protein_coding	10	125719515	125764143	44628
EDRF1-AS1	40.79	antisense	10	125744727	125752110	7383
